date,new_cases_smoothed
2020-01-31,NA
2020-02-01,NA
2020-02-02,NA
2020-02-03,NA
2020-02-04,NA
2020-02-05,1.286
2020-02-06,1.286
2020-02-07,1
2020-02-08,1.571
2020-02-09,1.714
2020-02-10,0.857
2020-02-11,1
2020-02-12,1
2020-02-13,1.143
2020-02-14,1.286
2020-02-15,0.714
2020-02-16,0.571
2020-02-17,0.714
2020-02-18,0.571
2020-02-19,0.571
2020-02-20,0.714
2020-02-21,0.714
2020-02-22,0.714
2020-02-23,1.429
2020-02-24,1.571
2020-02-25,2.143
2020-02-26,2.429
2020-02-27,3.143
2020-02-28,4.714
2020-02-29,5.429
2020-03-01,9.429
2020-03-02,14.857
2020-03-03,22.143
2020-03-04,29.714
2020-03-05,35.714
2020-03-06,45.286
2020-03-07,52.429
2020-03-08,55.429
2020-03-09,70.714
2020-03-10,99.714
2020-03-11,150.429
2020-03-12,213.286
2020-03-13,270.429
2020-03-14,314.571
2020-03-15,370
2020-03-16,436.429
2020-03-17,509.286
2020-03-18,593.286
2020-03-19,674.143
2020-03-20,784.857
2020-03-21,903.857
2020-03-22,1042.286
2020-03-23,1289
2020-03-24,1519.429
2020-03-25,1761.571
2020-03-26,2052
2020-03-27,2332.714
2020-03-28,2567.429
2020-03-29,2775.857
2020-03-30,3053.286
2020-03-31,3358.571
2020-04-01,3679.143
2020-04-02,3937.429
2020-04-03,4181
2020-04-04,4356.857
2020-04-05,4462.714
2020-04-06,4612.429
2020-04-07,4747
2020-04-08,4777.571
2020-04-09,4773.571
2020-04-10,4687.857
2020-04-11,4620.714
2020-04-12,4607.143
2020-04-13,4444.714
2020-04-14,4284.714
2020-04-15,4273.571
2020-04-16,4335.714
2020-04-17,4428.429
2020-04-18,4589
2020-04-19,4638.571
2020-04-20,4735.286
2020-04-21,4795.857
2020-04-22,4855.714
2020-04-23,4834
2020-04-24,4834.143
2020-04-25,4697.571
2020-04-26,4641.429
2020-04-27,4618
2020-04-28,4612.143
2020-04-29,4604.143
2020-04-30,4577
2020-05-01,4542.571
2020-05-02,4464.429
2020-05-03,4393.571
2020-05-04,4204.143
2020-05-05,4055.857
2020-05-06,3826.571
2020-05-07,3656
2020-05-08,3415.429
2020-05-09,3262.286
2020-05-10,3169
2020-05-11,3198.143
2020-05-12,3156.286
2020-05-13,3080
2020-05-14,2914.714
2020-05-15,2838.714
2020-05-16,2826.571
2020-05-17,2755.857
2020-05-18,2611.714
2020-05-19,2562.286
2020-05-20,2477.857
2020-05-21,2468.143
2020-05-22,2399
2020-05-23,2319.286
2020-05-24,2251
2020-05-25,2112.857
2020-05-26,1913.429
2020-05-27,1784.286
2020-05-28,1668.857
2020-05-29,1593.429
2020-05-30,1535.143
2020-05-31,1495.286
2020-06-01,1470.571
2020-06-02,1444.429
2020-06-03,1378.571
2020-06-04,1307.143
2020-06-05,1250.143
2020-06-06,1206.143
2020-06-07,1155.857
2020-06-08,1106.429
2020-06-09,1061.571
2020-06-10,1039
2020-06-11,1005.714
2020-06-12,998.143
2020-06-13,1011.857
2020-06-14,1024.714
2020-06-15,1015.857
2020-06-16,1005
2020-06-17,978.714
2020-06-18,981.429
2020-06-19,971.286
2020-06-20,939.714
2020-06-21,913.286
2020-06-22,894.143
2020-06-23,866.286
2020-06-24,834
2020-06-25,787.857
2020-06-26,739
2020-06-27,734.286
2020-06-28,701.857
2020-06-29,660.714
2020-06-30,592.286
2020-07-01,490.286
2020-07-02,391.286
2020-07-03,371.571
2020-07-04,370.286
2020-07-05,387.571
2020-07-06,351.571
2020-07-07,377
2020-07-08,459.143
2020-07-09,550.286
2020-07-10,551.714
2020-07-11,579.714
2020-07-12,598.857
2020-07-13,624.286
2020-07-14,719
2020-07-15,705.143
2020-07-16,705
2020-07-17,730
2020-07-18,731.286
2020-07-19,742.143
2020-07-20,749.286
2020-07-21,635.143
2020-07-22,638.286
2020-07-23,656.571
2020-07-24,668.143
2020-07-25,659.286
2020-07-26,662.143
2020-07-27,677.143
2020-07-28,691.714
2020-07-29,725.857
2020-07-30,737
2020-07-31,753
2020-08-01,752.143
2020-08-02,751.714
2020-08-03,788
2020-08-04,805.571
2020-08-05,819.143
2020-08-06,833.857
2020-08-07,832.714
2020-08-08,832.429
2020-08-09,878
2020-08-10,860.714
2020-08-11,929
2020-08-12,945.429
2020-08-13,971.286
2020-08-14,1052.714
